# Phase 3 — Authoritative KRX ticker map for the Korean broker-report pipeline.
#
# Schema (PR #21):
#   company_name_kr    canonical Korean company name as it appears on KRX
#   ticker             KRX:NNNNNN (always KRX-prefixed; 6-digit code)
#   aliases            optional, semicolon-separated alternate names that should
#                      resolve to the same ticker (renames, English-name forms)
#   market             one of {KOSPI, KOSDAQ, KONEX}
#   notes              free-form; may be blank
#
# Governance (PR #21):
#   * Listed entities only. IPO candidates / pre-listing companies are NOT
#     allowed — see docs/CLAUDE_CODE_RUNBOOK.md "Ticker map governance".
#   * Every ticker MUST match KRX:[0-9]{6}. Codes that aren't certain are
#     left out (and tracked under docs/TICKER_MAP_TODO.md), never guessed.
#   * Duplicate company_name_kr or duplicate ticker is a verification failure.
#   * Aliases that collide with another canonical name are a verification failure.
#   * This file is data — it is NOT a trading signal. The Phase 3 pipeline
#     keeps direct_trade_signal=false everywhere; the ticker map exists only
#     to translate Korean names from broker PDFs into KRX codes for the
#     strict gate.
#
# Verify with:
#   python3 stock_research/phase3_report_pipeline/scripts/ticker_resolver.py \
#       --verify --ticker-map stock_research/phase3_report_pipeline/resources/ticker_map.csv
company_name_kr,ticker,aliases,market,notes
삼성전자,KRX:005930,Samsung Electronics,KOSPI,
SK하이닉스,KRX:000660,SK Hynix,KOSPI,
LG전자,KRX:066570,LG Electronics,KOSPI,
LG에너지솔루션,KRX:373220,LGES,KOSPI,
삼성SDI,KRX:006400,,KOSPI,
삼성바이오로직스,KRX:207940,,KOSPI,
셀트리온,KRX:068270,,KOSPI,
현대차,KRX:005380,현대자동차,KOSPI,
기아,KRX:000270,,KOSPI,
현대모비스,KRX:012330,,KOSPI,
POSCO홀딩스,KRX:005490,포스코홀딩스;POSCO Holdings,KOSPI,
POSCO퓨처엠,KRX:003670,포스코퓨처엠;포스코케미칼,KOSPI,renamed from 포스코케미칼 in 2023
NAVER,KRX:035420,네이버,KOSPI,
카카오,KRX:035720,Kakao,KOSPI,
LG화학,KRX:051910,LG Chem,KOSPI,
삼성물산,KRX:028260,Samsung C&T,KOSPI,
KB금융,KRX:105560,KB금융지주,KOSPI,
신한지주,KRX:055550,신한금융지주,KOSPI,
하나금융지주,KRX:086790,,KOSPI,
우리금융지주,KRX:316140,,KOSPI,
메리츠금융지주,KRX:138040,,KOSPI,
한국금융지주,KRX:071050,한국투자금융지주,KOSPI,
삼성생명,KRX:032830,Samsung Life,KOSPI,
삼성화재,KRX:000810,Samsung Fire,KOSPI,
한미반도체,KRX:042700,Hanmi Semiconductor,KOSPI,
이수페타시스,KRX:007660,,KOSPI,
두산에너빌리티,KRX:034020,두산중공업,KOSPI,renamed from 두산중공업
두산밥캣,KRX:241560,Doosan Bobcat,KOSPI,
두산로보틱스,KRX:454910,Doosan Robotics,KOSPI,2023 IPO
한화에어로스페이스,KRX:012450,Hanwha Aerospace,KOSPI,
한국항공우주,KRX:047810,KAI;Korea Aerospace Industries,KOSPI,
